id,active,academic_year/id,class_id/id,evaluation_type,division_id/id,divisional,name,obj_mark,optional_for/id,paper,pass_mark,prac_mark,selection_type,display,subj_mark,total_mark,tut_mark,compulsory_for/id,tut_pass,subj_pass,obj_pass,prac_pass,selective_for/id
__export__.education_syllabus_1_3fc7a0e8,True,__export__.education_academic_year_1_19e0b085,__export__.education_class_1_d1a78863,General,,False,BengaliClass 1-2018,0,,,33,0,Compulsory,Bengali,80,100,20,,7,26,0,0,
__export__.education_syllabus_2_561debc3,True,__export__.education_academic_year_1_19e0b085,__export__.education_class_1_d1a78863,General,,False,EnglishClass 1-2018,0,,,33,0,Compulsory,English,80,100,20,,7,26,0,0,
__export__.education_syllabus_3_c6299c13,True,__export__.education_academic_year_1_19e0b085,__export__.education_class_1_d1a78863,General,,False,MathematicsClass 1-2018,0,,,33,0,Compulsory,Mathematics,80,100,20,,7,26,0,0,
__export__.education_syllabus_4_0ad1376c,True,__export__.education_academic_year_1_19e0b085,__export__.education_class_1_d1a78863,General,,False,Moral EducationClass 1-2018,0,,,33,0,Compulsory,Moral Education,80,100,20,,7,26,0,0,
__export__.education_syllabus_5_f1dd4938,True,__export__.education_academic_year_1_19e0b085,__export__.education_class_1_d1a78863,General,,False,ScienceClass 1-2018,0,,,33,0,Compulsory,Science,80,100,20,,7,26,0,0,
__export__.education_syllabus_6_71b06156,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,,False,Bangla-1stSSC Candidate-2019,30,,1st,33,0,Compulsory,Bangla-1st,70,100,0,,0,23,10,0,
__export__.education_syllabus_8_0c25e9c7,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,,False,Bangla-2nd SSC Candidate-2019,23,,2nd,33,0,Compulsory,Bangla-2nd,70,93,0,,0,23,10,0,
__export__.education_syllabus_9_56f0ef02,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,,False,English-1st SSC Candidate-2019,0,,1st,33,0,Compulsory,English-1st,100,100,0,,0,33,0,0,
__export__.education_syllabus_10_e3b00f25,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,,False,English-2nd SSC Candidate-2019,0,,2nd,33,0,Compulsory,English-2nd,100,100,0,,0,33,0,0,
__export__.education_syllabus_11_b0662423,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,,False,Mathematics SSC Candidate-2019,30,,,33,0,Compulsory,Mathematics,70,100,0,,0,23,10,0,
__export__.education_syllabus_12_9bd3abe9,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,,False,ICT SSC Candidate-2019,25,,,16,25,Compulsory,ICT,0,50,0,,0,0,8,8,
__export__.education_syllabus_13_94cfc7de,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,,False,Rel & Moral EduSSC Candidate-2019,30,,,33,0,Compulsory,Rel & Moral Edu,70,100,0,,0,23,10,0,
__export__.education_syllabus_14_0606a801,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,education_core.division_data3,True,Economics SSC Candidate-2019,30,,,33,0,Compulsory,Economics,70,100,0,,0,23,10,0,
__export__.education_syllabus_15_c792fded,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,education_core.division_data3,True,HB & Glb CP.SSC Candidate-2019,30,,,33,0,Compulsory,HB & Glb CP.,70,100,0,,0,23,10,0,
__export__.education_syllabus_16_c2158308,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,education_core.division_data3,True,GeographySSC Candidate-2019,30,,,33,0,Compulsory,Geography,70,100,0,,0,23,10,0,
__export__.education_syllabus_17_f5b590ee,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,education_core.division_data3,True,Gen Science SSC Candidate-2019,30,,,33,0,Compulsory,Gen Science,70,100,0,,0,23,10,0,
__export__.education_syllabus_18_50dcd9b7,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,education_core.division_data3,True,Home ScienceSSC Candidate-2019,0,,,0,0,Elective,Home Science,0,0,0,,0,0,0,0,
__export__.education_syllabus_19_c76e36ea,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,Extra,,False,Phy. EducationSSC Candidate-2019,0,,,33,0,Compulsory,Phy. Education,100,100,0,,0,33,0,0,
__export__.education_syllabus_20_349a061e,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,Extra,,False,Career Education SSC Candidate-2019,0,,,17,0,Compulsory,Career Education,50,50,0,,0,17,0,0,
__export__.education_syllabus_21_cbfe02fe,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,education_core.division_data1,True,Bang & Global Int. SSC Candidate-2019,30,,,33,0,Compulsory,Bang & Global Int.,70,100,0,,0,23,10,0,
__export__.education_syllabus_22_f04560ce,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,education_core.division_data1,True,Physics SSC Candidate-2019,25,,,33,25,Compulsory,Physics ,50,100,0,,0,17,8,8,
__export__.education_syllabus_23_3546ee68,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,education_core.division_data1,True,ChemistrySSC Candidate-2019,25,,,33,25,Compulsory,Chemistry,50,100,0,,0,17,8,8,
__export__.education_syllabus_24_5032abc2,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,education_core.division_data1,True,H. Math SSC Candidate-2019,25,,,33,25,Elective,H. Math,50,100,0,,0,17,8,8,
__export__.education_syllabus_25_1dbe6cc6,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,education_core.division_data1,True,BiologySSC Candidate-2019,25,,,33,25,Elective,Biology,50,100,0,,0,17,8,8,
__export__.education_syllabus_25_4c3fde8c,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,,False,Arts & Crafts SSC-2019,15,,,33,25,Elective,Arts & Crafts,60,100,0,,0,20,5,8,
__export__.education_syllabus_26_a028e1be,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,education_core.division_data2,True,Business Ent.SSC Candidate-2019,30,,,33,0,Elective,Business Ent.,70,100,0,,0,23,10,0,
__export__.education_syllabus_27_8b5ff735,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,,False,Accounting SSC-2019,30,,,33,0,Elective,Accounting,70,100,0,,0,23,10,0,
__export__.education_syllabus_28_a4dfd693,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_11_1f003666,General,,False,Finance SSC-2019,30,,,33,0,Elective,Finance,70,100,0,,0,23,10,0,
__export__.education_syllabus_29_5b13b7b8,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_1_d1a78863,General,,False,Bangla Class 1-2019,0,,,33,0,Compulsory,Bangla,80,100,20,,0,0,0,0,
__export__.education_syllabus_30_64206676,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_1_d1a78863,General,,False,English Class 1-2019,0,,,0,0,Compulsory,English,80,100,20,,0,0,0,0,
__export__.education_syllabus_31_d3fad583,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_1_d1a78863,General,,False,Mathematics Class 1-2019,0,,,0,0,Compulsory,Mathematics,80,100,20,,0,0,0,0,
__export__.education_syllabus_32_3583a4b8,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_1_d1a78863,General,,False,Rel & Moral Edu Class 1-2019,0,,,50,0,Compulsory,Rel & Moral Edu,80,100,20,,10,40,0,0,
__export__.education_syllabus_33_9fe9f909,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_1_d1a78863,General,,False,Bang & Global Int. Class 1-2019,0,,,40,0,Compulsory,Bang & Global Int.,80,100,20,,10,30,0,0,
__export__.education_syllabus_34_eb3efa71,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_1_d1a78863,General,,False,Bangla Dictation Class 1-2019,0,,,17,0,Compulsory,Bangla Dictation,50,50,0,,0,17,0,0,
__export__.education_syllabus_35_9afad177,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_1_d1a78863,General,,False,English Dictation Class 1-2019,0,,,17,0,Compulsory,English Dictation,50,50,0,,0,17,0,0,
__export__.education_syllabus_36_b6783239,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_1_d1a78863,Extra,,False,Arts & Crafts Class 1-2019,0,,,17,0,Compulsory,Arts & Crafts,50,50,0,,0,17,0,0,
__export__.education_syllabus_37_93253949,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_2_8a4446be,General,,False,Bangla Class 2-2019,0,,,40,0,Compulsory,Bangla,80,100,20,,10,30,0,0,
__export__.education_syllabus_38_4abfae0c,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_2_8a4446be,General,,False,EnglishClass 2-2019,0,,,40,0,Compulsory,English,80,100,20,,10,30,0,0,
__export__.education_syllabus_39_982d0171,True,__export__.education_academic_year_4_bba79d68,__export__.education_class_2_8a4446be,General,,False,Mathematics Class 2-2019,0,,,40,0,Compulsory,Mathematics,80,100,20,,10,30,0,0,
